Record ID,Date,Department,Employee ID,Gender,Age,Service type,Patients handled,Revenue USD,Cost USD,Waiting time,Satisfaction_score
40,30/06/2024,Emergency,E1532,Female,52,Follow-up,6,6885.29,5376.1,32.3,3.91
41,25/10/2024,Radiology,E1176,Female,38,Diagnostics,26,3993.94,2860.27,77.9,3.14
42,21/03/2024,Oncology,E1856,Female,29,Therapy,8,1357.75,1110.17,41.9,1.75
43,16/06/2024,Emergency,E1462,Female,24,Diagnostics,6,887.36,617.11,82.9,1.07
44,24/09/2024,Emergency,E1238,Female,36,Diagnostics,11,5364.88,2753.51,79.2,1.7
45,07/06/2024,Pediatrics,E1783,Female,37,Surgery,35,7063.91,4191.5,112.7,1.55
46,14/05/2024,Outpatient,E1340,Male,36,Diagnostics,44,3740.13,1708.25,111.3,4.51
47,25/03/2024,Radiology,E1665,Female,23,Therapy,17,2950.45,2153.8,99,3.22
48,08/11/2024,Oncology,E1368,Male,28,Follow-up,9,5531.68,2881.6,15.7,4.59
49,30/08/2024,Radiology,E1818,Female,34,Follow-up,41,9053.97,6487.63,44,2.4
50,08/06/2024,Cardiology,E1242,Female,28,Diagnostics,7,7396.58,6276.41,107,4.12
51,17/02/2024,Outpatient,E1293,Male,50,Surgery,16,6599.3,2917.35,23.6,4.59
52,30/06/2024,Outpatient,E1730,Male,57,Follow-up,28,6261.08,2533.22,16.7,3.65
53,20/10/2024,Orthopedics,E1004,Female,35,Diagnostics,50,548.09,263.3,68.1,3.77
54,07/12/2024,Cardiology,E1993,Male,60,Surgery,26,6693.63,3428.04,86.9,1.95
55,10/04/2024,Emergency,E1102,Male,61,Follow-up,43,3591.3,2776.96,79.7,4.4
56,18/02/2024,Pediatrics,E1066,Male,22,Follow-up,25,6747.32,4616.21,15.8,2.47
57,12/10/2024,Radiology,E1150,Male,58,Surgery,19,3019.42,1576.12,116.9,2.57
58,25/05/2024,Emergency,E1904,Female,57,Surgery,13,8974.44,6421.83,96.4,3.01
59,20/04/2024,Pediatrics,E1330,Female,41,Diagnostics,48,5980.59,3865.01,27.5,3.89
60,12/11/2024,Cardiology,E1639,Female,46,Surgery,36,3167.34,1305.44,79.2,1.71
61,12/07/2024,Pediatrics,E1476,Female,25,Follow-up,25,9434.36,8273.6,110.2,2.48
62,24/11/2024,Cardiology,E1582,Female,59,Surgery,38,646.84,558.97,54.2,4.87
63,13/07/2024,Oncology,E1788,Female,44,Surgery,49,9654.39,7979.4,38.9,2.54
64,26/02/2024,Oncology,E1779,Female,22,Surgery,26,8585.8,4794.83,24.5,3.23
65,12/11/2024,Cardiology,E1162,Female,58,Therapy,15,9393.47,7026.46,70.6,1.39
66,28/04/2024,Radiology,E1729,Female,57,Follow-up,7,6342.57,5676.77,21.1,3.07
67,05/07/2024,Pediatrics,E1529,Female,59,Surgery,17,8835.04,6806.38,85.2,3.81
68,12/12/2024,Radiology,E1083,Female,46,Follow-up,28,3915.17,2140.8,98.1,4.24
69,27/10/2024,Cardiology,E1208,Male,42,Follow-up,7,8737.19,7484.45,63.8,3.01
70,06/11/2024,Pediatrics,E1978,Male,37,Therapy,6,8083.8,5860.61,85.7,4.18
71,24/01/2024,Cardiology,E1462,Female,29,Consultation,20,8955.05,5095.4,48.2,1.38
72,21/04/2024,Outpatient,E1745,Male,64,Therapy,8,5993.66,2505.18,58.5,3.17
73,29/01/2024,Outpatient,E1749,Female,40,Diagnostics,33,3222.14,2240.73,8.5,1.15
74,23/01/2024,Orthopedics,E1399,Female,55,Surgery,13,8314.71,4823.32,19.6,3.09
75,20/02/2024,Outpatient,E1405,Male,36,Therapy,47,7814.94,3969.29,76.6,1.34
76,09/08/2024,Orthopedics,E1494,Female,24,Follow-up,28,990.98,659.67,67.2,3.55
77,13/09/2024,Radiology,E1728,Male,28,Therapy,49,7397.87,6568.76,64.4,2.29
78,04/02/2024,Radiology,E1960,Male,25,Therapy,28,8054.27,4312.39,55.5,1.31
79,31/03/2024,Radiology,E1521,Male,59,Consultation,25,740.83,652.91,101.1,3.78
80,18/04/2024,Oncology,E1385,Male,25,Consultation,36,4385.05,2133.97,23,2
81,31/12/2024,Oncology,E1133,Male,36,Surgery,12,5717.65,4329.96,80.9,2.12
82,30/12/2024,Oncology,E1592,Female,53,Consultation,17,9571.22,7359.77,68.8,3.45
83,05/06/2024,Emergency,E1072,Male,25,Diagnostics,14,4486.2,2350.17,45.9,4.03
84,18/11/2024,Oncology,E1698,Male,52,Therapy,17,636.74,291.65,10.3,1.16
85,23/03/2024,Oncology,E1945,Male,30,Diagnostics,42,8626.88,6485.94,59.5,1.39
86,18/01/2024,Emergency,E1888,Female,44,Therapy,19,5170.35,3292.15,24.9,2.74
87,10/03/2024,Pediatrics,E1031,Female,53,Therapy,41,4285.79,3034.02,78,1.18
88,11/06/2024,Radiology,E1102,Female,35,Diagnostics,38,4058.82,2893.65,62.9,4.43
89,05/10/2024,Outpatient,E1258,Male,53,Therapy,37,6757.59,3253.56,13.1,3.57
90,24/08/2024,Orthopedics,E1119,Male,33,Consultation,27,751.86,520.95,113.1,3.3
91,04/02/2024,Orthopedics,E1223,Male,62,Surgery,43,4187.61,3021.96,57.7,3.18
92,07/09/2024,Pediatrics,E1771,Male,54,Consultation,29,9443.92,5600.73,115.5,4.62
93,22/10/2024,Cardiology,E1596,Male,33,Therapy,15,2360.02,1025.86,16.6,1.07
94,14/05/2024,Cardiology,E1713,Female,39,Diagnostics,44,1397.21,1036.04,13.2,2.28
95,22/06/2024,Oncology,E1681,Male,33,Diagnostics,34,8526.32,3509.74,98.7,2.13
96,15/08/2024,Emergency,E1907,Male,65,Follow-up,14,1622.57,1214.28,77.3,4.51
97,31/03/2024,Radiology,E1856,Male,32,Surgery,15,7483.17,5999.56,37.4,1.71
98,07/09/2024,Emergency,E1142,Male,33,Surgery,37,7630.84,6130.75,118.9,2.65
99,11/05/2024,Emergency,E1103,Female,29,Surgery,15,4034.17,3179.76,44.2,4.72
100,06/08/2024,Orthopedics,E1205,Female,40,Diagnostics,22,8654.92,5318.42,91.4,4.02
101,07/04/2024,Emergency,E1805,Male,51,Diagnostics,41,1479.68,1259.62,63.1,4.31
102,26/10/2024,Emergency,E1015,Male,45,Therapy,5,3540.47,3001.47,49.8,1.04
103,29/08/2024,Oncology,E1168,Female,27,Follow-up,39,9101.13,4055.86,41.7,4.8
104,25/07/2024,Radiology,E1674,Female,55,Surgery,21,9530.77,6544.96,77.7,2.79
105,12/10/2024,Orthopedics,E1398,Male,35,Consultation,42,3285.5,1854.11,82.3,4.01
106,22/05/2024,Emergency,E1739,Male,34,Follow-up,49,8020,6374.37,15.5,2.98
107,20/01/2024,Pediatrics,E1836,Male,34,Therapy,35,1046.81,706.35,55.8,4.55
108,14/03/2024,Pediatrics,E1489,Female,34,Surgery,7,3833.69,1757.88,21.4,4.05
109,19/03/2024,Radiology,E1660,Male,29,Surgery,18,6373.07,2871.46,14.7,3.8
110,06/11/2024,Oncology,E1182,Female,63,Consultation,43,1191.25,966.02,86.2,1.33
111,03/05/2024,Radiology,E1765,Male,63,Diagnostics,21,1305.96,1166.64,48,2.48
112,15/01/2024,Orthopedics,E1779,Male,42,Surgery,44,8221.6,7182.59,118.4,4.01
113,15/06/2024,Pediatrics,E1133,Male,33,Therapy,12,4074.47,1799.9,94.4,3.23
114,12/11/2024,Emergency,E1411,Male,61,Therapy,47,4530.11,3864.99,17.8,2.97
115,02/05/2024,Orthopedics,E1220,Female,43,Follow-up,37,607.86,385.58,11.5,1.48
116,29/11/2024,Radiology,E1985,Male,32,Follow-up,47,1616.5,1171.32,90.8,3.33
117,23/07/2024,Pediatrics,E1543,Male,28,Follow-up,40,9640.64,5663.25,37.9,4.47
118,03/05/2024,Radiology,E1316,Female,44,Surgery,50,2624.16,2313.49,6.4,4.88
119,13/12/2024,Pediatrics,E1858,Female,59,Consultation,32,910.02,769.49,65.7,4.97
120,17/01/2024,Orthopedics,E1844,Male,59,Surgery,48,1201.07,813.04,116.5,3.09
121,18/06/2024,Cardiology,E1260,Female,26,Surgery,23,6479.29,4845.69,57.3,3.51
122,03/05/2024,Radiology,E1461,Male,55,Consultation,7,6050.99,5146.85,10.2,2.12
123,05/02/2024,Cardiology,E1150,Female,23,Diagnostics,15,9528.91,8053.19,57.4,3.48
124,25/09/2024,Oncology,E1306,Male,54,Diagnostics,30,3135.12,1548.94,58.3,2.41
125,12/05/2024,Oncology,E1150,Male,42,Surgery,49,6044.73,2652.83,117.1,4.94
126,13/01/2024,Cardiology,E1991,Female,58,Diagnostics,38,7132.54,4764.88,40.6,4.26
127,22/02/2024,Emergency,E1156,Male,61,Diagnostics,48,7004.95,3371.54,109.8,4.29
128,21/07/2024,Cardiology,E1611,Male,60,Follow-up,5,9523.1,7264.79,75.5,2.67
129,13/12/2024,Orthopedics,E1858,Female,51,Therapy,11,9360.92,7797.95,10.2,1.11
130,13/05/2024,Radiology,E1103,Male,46,Therapy,17,4076.4,3282.63,118.5,1.6
131,12/09/2024,Cardiology,E1476,Female,28,Consultation,17,6144.24,3627.84,116.5,4.37
132,27/04/2024,Oncology,E1378,Female,34,Diagnostics,7,8464.12,5369.19,52.7,2.09
133,06/12/2024,Oncology,E1282,Male,63,Follow-up,39,1035.57,861.97,98.5,5
134,31/07/2024,Emergency,E1716,Male,60,Consultation,29,9968.05,6755.51,93.4,4.78
135,22/12/2024,Radiology,E1705,Male,42,Diagnostics,44,8571.65,4488.75,56.8,1.52
136,10/06/2024,Pediatrics,E1849,Female,61,Consultation,26,9563.48,6723.96,31.3,3.69
137,02/08/2024,Cardiology,E1456,Female,37,Surgery,29,6372.22,3690.03,18.1,3.69
138,15/06/2024,Emergency,E1961,Male,35,Therapy,48,5442.92,4279,64.8,4.41
139,11/09/2024,Orthopedics,E1656,Female,50,Surgery,38,5743.11,3908.01,105.8,2.61
140,27/11/2024,Cardiology,E1943,Female,45,Follow-up,35,1773.14,734.77,91.8,3.48
141,12/08/2024,Radiology,E1408,Female,64,Diagnostics,13,7188.76,3640.98,20.7,1.06
142,04/06/2024,Emergency,E1183,Female,39,Therapy,45,3830.58,2662.1,50.1,2.75
143,24/04/2024,Oncology,E1799,Male,54,Surgery,43,9089.51,5218.54,64.1,4.13
144,23/11/2024,Radiology,E1054,Female,50,Follow-up,29,4267.16,3034.14,104.2,4.8
145,22/08/2024,Oncology,E1342,Female,46,Diagnostics,33,1897.2,1637.84,61.6,2.03
146,27/05/2024,Radiology,E1614,Female,55,Consultation,33,4861.79,4327.07,61.7,2.32
147,08/01/2024,Emergency,E1359,Female,35,Surgery,17,6517.31,3389.48,13.7,1.52
148,09/03/2024,Emergency,E1294,Female,46,Follow-up,10,1716.44,816.94,21,3.56
149,26/07/2024,Pediatrics,E1600,Female,64,Follow-up,9,2227.86,1276.19,108.1,2.9
150,02/07/2024,Radiology,E1464,Male,37,Consultation,8,6841.8,3326.21,27.1,1.16
151,20/05/2024,Oncology,E1444,Male,39,Follow-up,49,2104.88,1135.15,25.4,1.35
152,23/07/2024,Cardiology,E1559,Male,64,Therapy,23,1646.04,1037.65,28.7,2.46
153,21/03/2024,Orthopedics,E1209,Female,26,Surgery,9,5282.46,3936.48,9.5,4.2
154,06/07/2024,Pediatrics,E1212,Female,36,Follow-up,24,6465.05,2850.31,105.5,4.68
155,19/09/2024,Oncology,E1086,Female,41,Consultation,16,1080.24,581.64,97.7,3.99
156,04/10/2024,Cardiology,E1764,Male,43,Follow-up,24,2252.95,1137.01,47.6,2.94
157,16/11/2024,Oncology,E1288,Male,23,Follow-up,24,6373.42,3724.99,58.2,3.99
158,14/07/2024,Orthopedics,E1786,Male,30,Therapy,28,848.49,446.49,87,4.58
159,16/11/2024,Orthopedics,E1835,Female,30,Therapy,48,5360.94,3570.69,17.3,2.79
160,26/11/2024,Emergency,E1559,Male,58,Diagnostics,18,5559.86,2898,36,2.51
161,10/10/2024,Emergency,E1350,Female,29,Consultation,41,690.68,387.5,29.3,2.31
162,10/06/2024,Emergency,E1821,Female,60,Follow-up,19,1637.74,1384.32,73.3,3.72
163,22/06/2024,Orthopedics,E1284,Female,41,Follow-up,44,7997.13,5191.91,15,3.15
164,31/03/2024,Orthopedics,E1721,Male,51,Consultation,33,6074.99,4694.26,54.6,1.51
165,23/08/2024,Oncology,E1285,Male,62,Follow-up,47,3195.87,1858.53,79.3,3.28
166,08/11/2024,Pediatrics,E1313,Female,28,Diagnostics,22,3882.92,3468.45,74.7,1.95
167,07/07/2024,Radiology,E1329,Female,28,Consultation,46,1466.93,698.89,33.3,1.64
168,17/06/2024,Pediatrics,E1726,Male,32,Therapy,7,2272.39,1232.88,24.9,4.59
169,04/08/2024,Outpatient,E1473,Female,41,Diagnostics,8,1262.22,835.91,52.2,4.93
170,15/06/2024,Oncology,E1173,Female,45,Surgery,46,1564.37,936.94,116.5,4.46
171,14/12/2024,Pediatrics,E1002,Female,27,Diagnostics,9,8262.18,4370.29,24.7,3.67
172,18/09/2024,Outpatient,E1354,Female,28,Therapy,25,9329.07,6328.67,70.7,2.12
173,13/08/2024,Outpatient,E1873,Male,30,Surgery,34,7810.18,3854.49,42.2,2.7
174,14/07/2024,Orthopedics,E1424,Male,59,Follow-up,13,5322.3,2774.01,18.2,3.44
175,27/03/2024,Radiology,E1419,Female,34,Diagnostics,5,3241.99,2238.98,22.8,2.92
176,28/12/2024,Radiology,E1770,Female,29,Consultation,48,5559.6,2367.9,43.7,1.54
177,29/09/2024,Oncology,E1718,Female,55,Therapy,43,1102.06,986.32,42.1,4.24
178,05/02/2024,Emergency,E1677,Female,58,Consultation,25,2919.09,2162.32,92.4,3.38
179,13/07/2024,Oncology,E1204,Male,48,Follow-up,22,4979.97,3017.47,45.1,4.72
180,06/02/2024,Cardiology,E1104,Male,24,Follow-up,17,8390.88,7405.06,19.3,3.92
181,01/09/2024,Emergency,E1746,Male,42,Surgery,14,9414.23,4618.78,12.6,3.96
182,30/05/2024,Radiology,E1403,Male,33,Diagnostics,5,5957.49,4890.59,21.1,4.18
183,22/01/2024,Pediatrics,E1762,Male,41,Diagnostics,31,2415.46,1163.84,23.9,4.26
184,23/04/2024,Radiology,E1023,Male,23,Therapy,21,6819.37,4511.24,46.3,4.51
185,30/05/2024,Emergency,E1455,Female,59,Diagnostics,34,4228.23,3417.68,55.5,2.51
186,02/03/2024,Pediatrics,E1909,Male,27,Consultation,31,4895.46,2695.88,91,3.01
187,23/04/2024,Outpatient,E1943,Male,25,Consultation,42,2706.02,2299.54,49.1,3.17
188,11/03/2024,Emergency,E1203,Female,55,Therapy,33,9111.49,6488.47,18.4,4.76
189,24/09/2024,Cardiology,E1948,Female,34,Diagnostics,36,6463.23,3667.58,21,4.18
190,06/11/2024,Radiology,E1500,Male,53,Follow-up,25,6390.69,4260.87,107.8,4.15
191,18/10/2024,Pediatrics,E1338,Male,65,Therapy,17,1940.91,1078.88,33.6,3.98
192,07/06/2024,Outpatient,E1517,Male,38,Diagnostics,45,818.56,560.67,92.7,4.51
193,17/03/2024,Cardiology,E1891,Female,29,Therapy,13,3749.78,3039.68,17.7,4.39
194,16/09/2024,Pediatrics,E1231,Male,30,Consultation,8,1711.14,1024.36,96.7,1.6
195,15/10/2024,Oncology,E1781,Female,49,Consultation,38,2677.89,2038.21,87.8,3.56
196,09/06/2024,Emergency,E1173,Male,60,Surgery,9,7092.51,4761.64,34,2.38
197,22/07/2024,Outpatient,E1193,Female,64,Consultation,30,2225.18,1900.81,72.1,2.6
198,11/03/2024,Pediatrics,E1847,Male,59,Diagnostics,30,4889.06,4271.29,22.6,3.34
199,04/12/2024,Orthopedics,E1277,Female,32,Consultation,10,5305.94,3744.55,7.1,4.49
200,19/11/2024,Orthopedics,E1404,Male,28,Surgery,25,9355.12,6385.49,85.1,4.69
201,13/11/2024,Radiology,E1271,Female,47,Diagnostics,38,7218.77,3438.08,71.3,3.43
202,04/06/2024,Radiology,E1781,Male,28,Diagnostics,8,4529.24,3479.46,112.5,4.7
203,24/07/2024,Oncology,E1380,Female,44,Diagnostics,16,4782.97,2184,118.3,4.36
204,15/03/2024,Cardiology,E1118,Male,22,Surgery,28,1684.3,1449.21,105,3.08
205,08/03/2024,Cardiology,E1117,Male,51,Follow-up,46,6117.12,3667.22,11.3,2.34
206,01/11/2024,Radiology,E1015,Male,39,Consultation,5,8127.11,3269.67,43.4,2.59
207,01/05/2024,Emergency,E1094,Female,41,Consultation,49,5605.26,4820.12,44.8,2.39
208,04/11/2024,Cardiology,E1177,Male,22,Follow-up,8,7506.26,4699.74,30.8,2.81
209,22/06/2024,Emergency,E1919,Male,58,Diagnostics,21,1838.14,897.37,62.3,2.68
210,02/12/2024,Outpatient,E1400,Female,46,Surgery,25,9191.04,5341.8,71.8,3.53
211,26/03/2024,Outpatient,E1888,Female,44,Therapy,50,624.4,456.92,25.5,4.84
212,01/11/2024,Emergency,E1450,Male,38,Diagnostics,16,1912.3,1161.36,14.8,4.99
213,23/09/2024,Orthopedics,E1957,Male,53,Surgery,34,5270.85,3677.43,12.7,4
214,13/12/2024,Emergency,E1305,Male,32,Consultation,5,2494.1,2117.56,28.6,1.76
215,28/01/2024,Cardiology,E1302,Male,47,Surgery,50,847.22,538.86,70,1.26
216,04/02/2024,Orthopedics,E1308,Female,30,Diagnostics,46,7867.51,4930.13,65.3,2.76
217,15/05/2024,Orthopedics,E1487,Female,45,Consultation,40,4307.25,2928.16,22.9,1.73
218,24/07/2024,Oncology,E1489,Female,49,Diagnostics,38,8686.96,7584.22,47.9,2.08
219,06/05/2024,Pediatrics,E1515,Female,56,Consultation,7,6618,3999.7,7.9,1.62
220,25/01/2024,Pediatrics,E1862,Female,59,Follow-up,49,7301.74,5326.34,8.1,1.89
221,19/03/2024,Cardiology,E1616,Female,34,Consultation,24,2695.21,1983.53,7.3,1.42
222,01/04/2024,Oncology,E1812,Male,35,Therapy,28,8099.2,3962.71,80.1,1.95
223,31/05/2024,Oncology,E1387,Female,43,Therapy,45,1444.69,753.53,88.1,4.42
224,05/07/2024,Cardiology,E1704,Male,22,Diagnostics,23,8387.09,5020.44,81.8,1.82
225,09/02/2024,Radiology,E1657,Male,50,Therapy,6,3284.9,2786.15,6.5,1.34
226,04/04/2024,Radiology,E1896,Female,33,Consultation,18,2474.92,1022.8,25.9,3.33
227,08/07/2024,Pediatrics,E1680,Female,44,Diagnostics,16,4503.53,3811.5,99,2.37
228,06/10/2024,Radiology,E1865,Female,58,Therapy,49,2964.52,1748.61,72.9,2.07
229,28/08/2024,Emergency,E1511,Female,54,Surgery,26,6429.41,3887.9,68.5,2.74
230,28/06/2024,Outpatient,E1073,Male,26,Follow-up,34,3297.42,2882.69,92.8,1.56
231,27/10/2024,Cardiology,E1452,Female,28,Surgery,48,8750.45,5632.8,107.9,4.2
232,04/10/2024,Pediatrics,E1183,Female,48,Therapy,5,4539.53,1866.81,35.9,3.17
233,05/01/2024,Cardiology,E1856,Male,22,Diagnostics,35,6518.04,3447.68,21,4.34
234,01/07/2024,Pediatrics,E1487,Male,32,Follow-up,38,9851.82,6530.23,24.7,2.09
235,14/06/2024,Pediatrics,E1425,Female,53,Surgery,14,674.71,578.33,18.5,3.31
236,21/09/2024,Outpatient,E1739,Female,44,Therapy,43,3103.52,2101.36,79.9,4.32
237,26/03/2024,Cardiology,E1819,Male,23,Follow-up,7,2461,997.93,20.7,4.6
238,27/01/2024,Orthopedics,E1922,Male,56,Follow-up,13,8801.96,6149.99,74.1,3.66
239,08/04/2024,Emergency,E1089,Male,38,Follow-up,47,2166.03,1856.73,53.2,2.53
240,04/11/2024,Pediatrics,E1010,Female,48,Consultation,42,5429.72,2299.39,24.1,3.95
241,12/12/2024,Pediatrics,E1430,Female,49,Diagnostics,16,1286.59,902.64,33.2,2.56
242,28/09/2024,Orthopedics,E1042,Female,22,Follow-up,28,3242.59,1873.69,87.7,2.19
243,24/05/2024,Oncology,E1647,Male,62,Therapy,5,5880.84,3752.12,81.3,4.75
244,01/11/2024,Pediatrics,E1228,Female,30,Therapy,6,7459.43,3785.44,8.6,2.05
245,12/07/2024,Emergency,E1114,Male,43,Surgery,50,6153.24,2619.51,62.1,3.39
246,25/01/2024,Outpatient,E1077,Female,52,Surgery,36,3675.32,2886.8,17.3,1.3
247,12/01/2024,Emergency,E1410,Male,29,Consultation,38,7417.79,4804.84,84.2,2.74
248,21/12/2024,Outpatient,E1930,Male,50,Surgery,16,2840.82,2299.79,96.9,3.78
249,13/02/2024,Cardiology,E1886,Male,51,Surgery,50,3085.38,2144.69,46.5,1.37
250,11/06/2024,Orthopedics,E1536,Male,53,Therapy,19,9214.48,4316.15,114.3,2.78
251,14/12/2024,Orthopedics,E1723,Male,49,Consultation,46,2258.76,1515.52,105.4,3.93
252,06/03/2024,Orthopedics,E1603,Female,29,Surgery,32,8162.33,5953.54,84.6,4.4
253,05/02/2024,Pediatrics,E1396,Female,40,Surgery,10,2871.85,1851.52,30.4,4.95
254,16/08/2024,Oncology,E1285,Male,64,Surgery,10,9468.56,3974.08,86.1,4.7
255,19/10/2024,Outpatient,E1995,Male,22,Consultation,46,2215.47,1515.32,110.3,1.14
256,05/01/2024,Orthopedics,E1613,Male,59,Diagnostics,35,7125.49,3909.57,111.3,4.88
257,22/12/2024,Pediatrics,E1563,Female,29,Follow-up,7,9470.53,6033.74,104.1,4.38
258,10/01/2024,Outpatient,E1359,Male,35,Consultation,47,3531.45,2876.22,9.3,3.39
259,10/03/2024,Orthopedics,E1048,Female,63,Follow-up,22,2685.08,1235.9,13.8,3.79
260,18/07/2024,Outpatient,E1963,Female,46,Surgery,44,3728.81,2842.78,12.5,2.26
261,27/08/2024,Radiology,E1644,Male,27,Consultation,45,5625.17,4474.04,41.7,3.5
262,16/10/2024,Radiology,E1849,Male,59,Diagnostics,24,8916.79,6312.48,31.8,1.1
263,06/07/2024,Radiology,E1408,Male,29,Follow-up,43,8765.94,3599.6,105.6,3.12
264,22/11/2024,Emergency,E1544,Male,47,Surgery,5,9421.14,7531.18,119.8,2.4
265,17/12/2024,Emergency,E1315,Female,52,Therapy,21,7788.29,4680.49,60.2,3.51
266,04/01/2024,Pediatrics,E1091,Male,39,Surgery,43,8799.93,7849.9,93.4,2.67
267,31/05/2024,Oncology,E1730,Male,63,Consultation,13,4502.89,3461.78,32.5,1.44
268,31/01/2024,Oncology,E1996,Male,44,Consultation,17,3868.91,2103.21,39.1,1.93
269,15/03/2024,Orthopedics,E1135,Male,35,Follow-up,7,899.89,368,118.6,2.71
270,08/02/2024,Emergency,E1833,Male,22,Consultation,25,4151.1,3071.08,30.1,4.8
271,08/01/2024,Pediatrics,E1946,Female,59,Follow-up,19,7970.28,3544.43,53,4.52
272,12/02/2024,Cardiology,E1071,Male,44,Surgery,36,9474.95,6004.28,75.5,1.67
273,05/06/2024,Outpatient,E1113,Female,34,Surgery,14,9916.1,5115.08,113.4,3.6
274,18/02/2024,Orthopedics,E1875,Female,38,Therapy,20,6273.5,4117.58,31.5,1.71
275,25/05/2024,Pediatrics,E1077,Male,54,Follow-up,8,2594.62,1279.72,94.7,2.4
276,22/03/2024,Radiology,E1341,Male,37,Follow-up,32,1049.51,928.35,106.6,4.71
277,27/04/2024,Emergency,E1686,Female,34,Consultation,14,9951.62,4845.92,50.6,4.03
278,18/03/2024,Oncology,E1828,Female,29,Consultation,7,7112.2,3392.15,98.8,1.9
279,18/05/2024,Oncology,E1786,Male,62,Consultation,13,2626.27,1755.63,73.2,3.32
280,09/01/2024,Oncology,E1790,Female,49,Consultation,33,1369.12,1148.32,35.5,1.52
281,22/10/2024,Cardiology,E1027,Male,52,Surgery,15,8943.11,7850.49,104.1,4.24
282,11/05/2024,Emergency,E1476,Female,49,Follow-up,12,6724.8,4542.12,15,2.63
283,08/02/2024,Emergency,E1092,Male,61,Therapy,25,4040.54,2140.99,88.2,2.98
